2021-05-07 9:25:48 - PHP Notice:  A non well formed numeric value encountered in V:\domains\design\catalog\controller\product\category.php on line 207
2021-05-07 9:26:32 - PHP Notice:  A non well formed numeric value encountered in V:\domains\design\catalog\controller\product\category.php on line 207
2021-05-07 9:26:32 - PHP Notice:  A non well formed numeric value encountered in V:\domains\design\catalog\controller\product\category.php on line 207
2021-05-07 9:26:32 - PHP Notice:  A non well formed numeric value encountered in V:\domains\design\catalog\controller\product\category.php on line 207
2021-05-07 9:26:58 - PHP Notice:  A non well formed numeric value encountered in V:\domains\design\catalog\controller\product\category.php on line 207
2021-05-07 9:26:58 - PHP Notice:  A non well formed numeric value encountered in V:\domains\design\catalog\controller\product\category.php on line 207
2021-05-07 9:26:58 - PHP Notice:  A non well formed numeric value encountered in V:\domains\design\catalog\controller\product\category.php on line 207
2021-05-07 9:27:22 - PHP Notice:  A non well formed numeric value encountered in V:\domains\design\catalog\controller\product\category.php on line 207
2021-05-07 9:27:22 - PHP Notice:  A non well formed numeric value encountered in V:\domains\design\catalog\controller\product\category.php on line 207
2021-05-07 9:27:22 - PHP Notice:  A non well formed numeric value encountered in V:\domains\design\catalog\controller\product\category.php on line 207
2021-05-07 9:27:22 - PHP Warning:  var_dump() expects at least 1 parameter, 0 given in V:\domains\design\catalog\controller\product\category.php on line 208
2021-05-07 9:27:34 - PHP Notice:  A non well formed numeric value encountered in V:\domains\design\catalog\controller\product\category.php on line 207
2021-05-07 9:27:34 - PHP Notice:  A non well formed numeric value encountered in V:\domains\design\catalog\controller\product\category.php on line 207
2021-05-07 9:27:34 - PHP Notice:  A non well formed numeric value encountered in V:\domains\design\catalog\controller\product\category.php on line 207
2021-05-07 9:27:34 - PHP Warning:  var_dump() expects at least 1 parameter, 0 given in V:\domains\design\catalog\controller\product\category.php on line 208
2021-05-07 9:28:01 - PHP Warning:  var_dump() expects at least 1 parameter, 0 given in V:\domains\design\catalog\controller\product\category.php on line 208
2021-05-07 9:30:15 - PHP Warning:  var_dump() expects at least 1 parameter, 0 given in V:\domains\design\catalog\controller\product\category.php on line 207
2021-05-07 11:22:03 - PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/ey413642/allegria.com.ua/www/system/library/db/mysqli.php on line 7
2021-05-07 11:22:03 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/ey413642/allegria.com.ua/www/system/library/db/mysqli.php on line 10
2021-05-07 11:22:03 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/ey413642/allegria.com.ua/www/system/library/db/mysqli.php on line 10
2021-05-07 11:23:32 - PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/ey413642/allegria.com.ua/www/system/library/db/mysqli.php on line 7
2021-05-07 11:23:32 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/ey413642/allegria.com.ua/www/system/library/db/mysqli.php on line 10
2021-05-07 11:23:32 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/ey413642/allegria.com.ua/www/system/library/db/mysqli.php on line 10
2021-05-11 14:43:07 - PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/ey413642/allegria.com.ua/www/system/library/db/mysqli.php on line 7
2021-05-11 14:43:07 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/ey413642/allegria.com.ua/www/system/library/db/mysqli.php on line 10
2021-05-11 14:43:07 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/ey413642/allegria.com.ua/www/system/library/db/mysqli.php on line 10
2021-05-11 14:44:55 - PHP Warning:  mysqli::__construct(): (HY000/2002): No such file or directory in /home/ey413642/allegria.com.ua/www/system/library/db/mysqli.php on line 7
2021-05-11 14:44:55 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/ey413642/allegria.com.ua/www/system/library/db/mysqli.php on line 10
2021-05-11 14:44:55 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /home/ey413642/allegria.com.ua/www/system/library/db/mysqli.php on line 10
2021-05-26 13:02:16 - PHP Warning:  unlink(/home/ey413642/allegria.com.ua/www/system/storage/cache/cache.catalog.language.1622037736): No such file or directory in /home/ey413642/allegria.com.ua/www/system/library/cache/file.php on line 68
